trial,best_val_loss,best_epoch,terminating_epoch,lr,beta1,beta2,eps,weight_decay
0,0.07803460958003998,792,820,2.932248474919265e-05,0.9686407231712125,0.9763010844357638,5.823808382847424e-09,9.588272061157046e-05
1,0.0776626159787178,80,112,0.00036554002329984174,0.9412230161811868,0.9787934627784378,1.9124001114030232e-09,1.2983443910253406e-06
2,0.08362827770709992,15,50,0.008054834226429634,0.9105873895067075,0.9761517802375484,1.014654439827023e-09,6.0471226360907026e-05
3,0.08669266970157623,25,60,0.003227618399677746,0.8820267109778633,0.9944325424858369,5.061536498053407e-07,1.325439570460723e-06
4,0.10403736144304275,1000,1000,1.2259657689333925e-05,0.9257977461910896,0.9938210013615733,1.3919149936496142e-08,7.351866098393529e-06
5,0.07727143276929856,95,124,0.0002935962586105529,0.8540657102604815,0.9221469974606762,2.0590305055480796e-08,9.621636944233756e-05
6,0.07827258648872376,348,376,6.463427714714064e-05,0.8823213158157378,0.9218562256300351,2.392271118916972e-08,1.4425353294574885e-05
7,0.1070662091255188,1000,1000,1.187742538808883e-05,0.9672609165927601,0.9555897868329781,8.45051328417008e-08,5.541470984448847e-06
8,0.1657731387615204,20,55,0.028261407990293204,0.9703925140313405,0.9120769069846001,9.956015316899894e-09,0.0007690199922680496
9,0.085265365421772,25,60,0.002970981986285953,0.9811016821519243,0.9421684892961454,3.0910574709447887e-07,0.000479979032138917
10,0.07755664834976196,240,268,0.00011346165063662855,0.9322612848600983,0.9881596521831026,3.4561473921402963e-07,0.00010498694110461728
11,0.0797689969420433,30,65,0.0011169462395354461,0.8548336162211878,0.9242497233569524,2.467247642464663e-07,4.5420927384009615e-05
12,0.07759606976509094,604,632,3.995468520113214e-05,0.9268318265943414,0.9702337721303566,1.0554981866069318e-07,3.153639757109685e-05
13,0.07871911640167237,80,112,0.0003359872629056311,0.9211797083549974,0.9777664172385145,3.654393021046456e-08,3.7412814433013556e-05
14,0.08118218694925308,60,95,0.000504340388093819,0.8541404949553669,0.9043443803066171,1.2886834936555854e-07,0.0085654635093165
15,0.08095995804071426,30,65,0.0011549728007757766,0.905103956092908,0.9170178847658825,3.211557302077356e-08,0.008478256473410474
16,0.07910360152721405,15,50,0.004777518602402839,0.925546442782969,0.9859429489141629,4.971968679643232e-09,0.00011352373016758677
17,0.1103146823644638,15,50,0.020504283605615684,0.9308912730921685,0.9458672600178758,6.424486669665424e-09,0.00015559127435641252
18,0.1088212256193161,25,60,0.021281849395172574,0.850799278123055,0.9782871577382775,2.8937281944987954e-07,0.0035052445546035252
19,0.08590399013757706,20,55,0.0037568179689525458,0.9632795861221471,0.9518159605239479,4.8314066677707785e-08,5.06247298570051e-05
20,0.08973027031421661,1000,1000,1.56728331677862e-05,0.9718014217247296,0.9569429334542504,3.976658165499621e-09,0.00010444360887081183
21,0.08141697260141373,60,95,0.0004854487807730687,0.8999505950362938,0.9345731841099136,4.125118104967298e-08,0.00031185866195053197
22,0.07992235873937607,30,65,0.001347632520979508,0.9141405520139614,0.9027947009099758,4.884443539286252e-09,5.11499290635496e-06
23,0.07996164691448211,45,80,0.001077063519239142,0.9705412405194654,0.9797640501636848,2.462026300230919e-07,0.0018439514502372842
24,0.07707759410142899,332,360,7.721262776682894e-05,0.9678442765183735,0.9672440411913269,1.7770613175693132e-09,1.1661717603204465e-06
25,0.11064369148015976,1000,1000,1.1236389837264258e-05,0.9557821485353077,0.924930966642777,2.130423195204665e-09,0.0003156518482468846
26,0.07749786528348923,164,192,0.00015761591276588984,0.8597321529943186,0.9159465899169154,3.820684681535058e-08,4.705218380579962e-06
27,0.07772823843955994,272,300,8.891122399235097e-05,0.9496225898059382,0.9454246928415618,9.247094569627689e-09,7.853876298390942e-05
28,0.10571959881782532,1000,1000,1.208315348862606e-05,0.9041179946666058,0.9420497760529867,3.6653707874295877e-09,2.7229945353878553e-06
29,0.10260511224269867,25,60,0.013451726633332281,0.9214162373300147,0.9208881901559218,6.560635658408951e-08,0.0018542089520880904
